FILE NAME;003_22306_010116_000000.CSV
HASHCODE;1ACB13CDBB8916E4860DA53486F197FD09E589C319F501A87791F6F5DF7DE335
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;01/01/2016;00:00:00;GMT+00:00
END OF MEASUREMENT;01/01/2016;00:00:00;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   30820;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;       0;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC; 10,18;[m/s/s]
TIME OF PEAK ACC;   30290;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -9,95;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,09;[m/s/s]
AVERAGE VERT ACCEL AT START; -0,06;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,12;[deg/s]
AVERAGE LONG ACCEL AT END; -9,96;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,09;[m/s/s]
AVERAGE VERT ACCEL AT END; -0,08;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-9,97;-0,08;-0,06;0,25;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,77;0,00;0,00;0,00;0,00;0,00
10;12,3;-9,95;-0,09;-0,06;-0,14;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,48;0,00;0,00;0,00;0,00;0,00
20;12,3;-9,95;-0,08;-0,06;-0,30;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,51;0,00;0,00;0,00;0,00;0,00
30;12,3;-9,95;-0,09;-0,07;-0,14;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,50;0,00;0,00;0,00;0,00;0,00
40;12,3;-9,97;-0,08;-0,06;0,10;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,51;0,00;0,00;0,00;0,00;0,00
50;12,3;-9,97;-0,09;-0,07;0,07;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,51;0,00;0,00;0,00;0,00;0,00
60;12,3;-9,96;-0,09;-0,07;-0,10;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,51;0,00;0,00;0,00;0,00;0,00
70;12,3;-9,96;-0,09;-0,07;0,03;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,52;0,00;0,00;0,00;0,00;0,00
80;12,3;-9,96;-0,09;-0,06;0,25;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,52;0,00;0,00;0,00;0,00;0,00
90;12,3;-9,96;-0,09;-0,06;0,31;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,52;0,00;0,00;0,00;0,00;0,00
100;12,3;-9,96;-0,08;-0,07;0,10;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,52;0,00;0,00;0,00;0,00;0,00
