FILE NAME;001_22306_270522_091738.CSV
HASHCODE;75AB5D0FA51F270FFD7A766931062A69449513B362B27C6C1869EC27A095E73E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;27/05/2022;09:17:38;GMT+00:00
END OF MEASUREMENT;27/05/2022;09:17:58;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   20190;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;       0;[mS]
PEAK SPEED;  0,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC; 10,05;[m/s/s]
TIME OF PEAK ACC;   20110;[mS]
PEAK PITCH;   0,00;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -9,96;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,03;[m/s/s]
AVERAGE VERT ACCEL AT START; -0,12;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -9,96;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,04;[m/s/s]
AVERAGE VERT ACCEL AT END; -0,12;[m/s/s]
AVERAGE PITCH RATE AT END;   0,28;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-9,96;-0,03;-0,12;0,47;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,20;0,00;0,00;0,00;0,00;0,00
10;12,2;-9,97;-0,04;-0,13;0,21;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,20;0,00;0,00;0,00;0,00;0,00
20;12,2;-9,97;-0,04;-0,13;0,19;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,22;0,00;0,00;0,00;0,00;0,00
30;12,2;-9,96;-0,04;-0,12;0,40;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
40;12,2;-9,96;-0,04;-0,13;0,03;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
50;12,2;-9,95;-0,03;-0,13;0,26;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,24;0,00;0,00;0,00;0,00;0,00
60;12,2;-9,95;-0,03;-0,12;0,10;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
70;12,2;-9,96;-0,04;-0,13;0,02;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
80;12,2;-9,97;-0,03;-0,12;0,41;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
90;12,2;-9,97;-0,03;-0,13;0,23;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
100;12,2;-9,96;-0,03;-0,13;0,43;0,00;0;0;0;0,0;0,0000000;90,0000000;0,00;0,00;487,19;0;0;9999;9999;0,00;0,23;0,00;0,00;0,00;0,00;0,00
